raceId,year,round,circuitId,name,date,time
195,1998,5,4,Spanish Grand Prix,5/10/1998,12:00:00
196,1998,6,6,Monaco Grand Prix,5/24/1998,12:00:00
197,1998,7,7,Canadian Grand Prix,6/7/1998,12:00:00
198,1998,8,8,French Grand Prix,6/28/1998,12:00:00
199,1998,9,9,British Grand Prix,7/12/1998,12:00:00
200,1998,10,23,Austrian Grand Prix,7/26/1998,4:30:00
201,1998,11,10,German Grand Prix,8/2/1998,7:00:00
202,1998,12,11,Hungarian Grand Prix,8/16/1998,17:00:00
203,1998,13,13,Belgian Grand Prix,8/30/1998,3:00:00
204,1998,14,14,Italian Grand Prix,9/13/1998,7:00:00
205,1998,15,20,Luxembourg Grand Prix,9/27/1998,11:30:00
206,1998,16,22,Japanese Grand Prix,11/1/1998,12:00:00
207,1997,1,1,Australian Grand Prix,3/9/1997,6:00:00
208,1997,2,18,Brazilian Grand Prix,3/30/1997,9:00:00
209,1997,3,25,Argentine Grand Prix,4/13/1997,7:00:00
210,1997,4,21,San Marino Grand Prix,4/27/1997,12:00:00
211,1997,5,6,Monaco Grand Prix,5/11/1997,12:00:00
212,1997,6,4,Spanish Grand Prix,5/25/1997,12:00:00
213,1997,7,7,Canadian Grand Prix,6/15/1997,12:00:00
214,1997,8,8,French Grand Prix,6/29/1997,12:00:00
215,1997,9,9,British Grand Prix,7/13/1997,12:00:00
216,1997,10,10,German Grand Prix,7/27/1997,12:00:00
217,1997,11,11,Hungarian Grand Prix,8/10/1997,12:00:00
218,1997,12,13,Belgian Grand Prix,8/24/1997,12:00:00
219,1997,13,14,Italian Grand Prix,9/7/1997,12:00:00
220,1997,14,23,Austrian Grand Prix,9/21/1997,12:00:00
221,1997,15,20,Luxembourg Grand Prix,9/28/1997,5:00:00
222,1997,16,22,Japanese Grand Prix,10/12/1997,16:00:00
223,1997,17,26,European Grand Prix,10/26/1997,11:00:00
224,1996,1,1,Australian Grand Prix,3/10/1996,4:30:00
225,1996,2,18,Brazilian Grand Prix,3/31/1996,7:00:00
226,1996,3,25,Argentine Grand Prix,4/7/1996,11:30:00
227,1996,4,20,European Grand Prix,4/28/1996,12:00:00
228,1996,5,21,San Marino Grand Prix,5/5/1996,12:00:00
229,1996,6,6,Monaco Grand Prix,5/19/1996,12:00:00
230,1996,7,4,Spanish Grand Prix,6/2/1996,17:00:00
231,1996,8,7,Canadian Grand Prix,6/16/1996,12:00:00
232,1996,9,8,French Grand Prix,6/30/1996,12:00:00
233,1996,10,9,British Grand Prix,7/14/1996,12:00:00
234,1996,11,10,German Grand Prix,7/28/1996,12:00:00
235,1996,12,11,Hungarian Grand Prix,8/11/1996,12:00:00
236,1996,13,13,Belgian Grand Prix,8/25/1996,12:00:00
237,1996,14,14,Italian Grand Prix,9/8/1996,12:00:00
238,1996,15,27,Portuguese Grand Prix,9/22/1996,12:00:00
239,1996,16,22,Japanese Grand Prix,10/13/1996,4:30:00
240,1995,1,18,Brazilian Grand Prix,3/26/1995,6:00:00
241,1995,2,25,Argentine Grand Prix,4/9/1995,9:00:00
242,1995,3,21,San Marino Grand Prix,4/30/1995,7:00:00
243,1995,4,4,Spanish Grand Prix,5/14/1995,12:00:00
244,1995,5,6,Monaco Grand Prix,5/28/1995,12:00:00
245,1995,6,7,Canadian Grand Prix,6/11/1995,12:00:00
246,1995,7,8,French Grand Prix,7/2/1995,12:00:00
247,1995,8,9,British Grand Prix,7/16/1995,12:00:00
248,1995,9,10,German Grand Prix,7/30/1995,12:00:00
249,1995,10,11,Hungarian Grand Prix,8/13/1995,12:00:00
250,1995,11,13,Belgian Grand Prix,8/27/1995,12:00:00
251,1995,12,14,Italian Grand Prix,9/10/1995,12:00:00
252,1995,13,27,Portuguese Grand Prix,9/24/1995,12:00:00
253,1995,14,20,European Grand Prix,10/1/1995,12:00:00
254,1995,15,28,Pacific Grand Prix,10/22/1995,5:00:00
255,1995,16,22,Japanese Grand Prix,10/29/1995,16:00:00
256,1995,17,29,Australian Grand Prix,11/12/1995,11:00:00
257,1994,1,18,Brazilian Grand Prix,3/27/1994,4:30:00
258,1994,2,28,Pacific Grand Prix,4/17/1994,7:00:00
259,1994,3,21,San Marino Grand Prix,5/1/1994,11:30:00
260,1994,4,6,Monaco Grand Prix,5/15/1994,12:00:00
261,1994,5,4,Spanish Grand Prix,5/29/1994,12:00:00
262,1994,6,7,Canadian Grand Prix,6/12/1994,12:00:00
263,1994,7,8,French Grand Prix,7/3/1994,17:00:00
264,1994,8,9,British Grand Prix,7/10/1994,12:00:00
265,1994,9,10,German Grand Prix,7/31/1994,12:00:00
266,1994,10,11,Hungarian Grand Prix,8/14/1994,12:00:00
267,1994,11,13,Belgian Grand Prix,8/28/1994,12:00:00
268,1994,12,14,Italian Grand Prix,9/11/1994,12:00:00
269,1994,13,27,Portuguese Grand Prix,9/25/1994,12:00:00
270,1994,14,26,European Grand Prix,10/16/1994,12:00:00
271,1994,15,22,Japanese Grand Prix,11/6/1994,12:00:00
272,1994,16,29,Australian Grand Prix,11/13/1994,4:30:00
273,1993,1,30,South African Grand Prix,3/14/1993,7:00:00
274,1993,2,18,Brazilian Grand Prix,3/28/1993,17:00:00
275,1993,3,31,European Grand Prix,4/11/1993,6:00:00
276,1993,4,21,San Marino Grand Prix,4/25/1993,9:00:00
277,1993,5,4,Spanish Grand Prix,5/9/1993,7:00:00
278,1993,6,6,Monaco Grand Prix,5/23/1993,12:00:00
279,1993,7,7,Canadian Grand Prix,6/13/1993,12:00:00
280,1993,8,8,French Grand Prix,7/4/1993,12:00:00
281,1993,9,9,British Grand Prix,7/11/1993,12:00:00
282,1993,10,10,German Grand Prix,7/25/1993,12:00:00
283,1993,11,11,Hungarian Grand Prix,8/15/1993,12:00:00
284,1993,12,13,Belgian Grand Prix,8/29/1993,12:00:00
285,1993,13,14,Italian Grand Prix,9/12/1993,12:00:00
286,1993,14,27,Portuguese Grand Prix,9/26/1993,12:00:00
287,1993,15,22,Japanese Grand Prix,10/24/1993,12:00:00
288,1993,16,29,Australian Grand Prix,11/7/1993,12:00:00
289,1992,1,30,South African Grand Prix,3/1/1992,5:00:00
290,1992,2,32,Mexican Grand Prix,3/22/1992,16:00:00
291,1992,3,18,Brazilian Grand Prix,4/5/1992,11:00:00
292,1992,4,4,Spanish Grand Prix,5/3/1992,4:30:00
293,1992,5,21,San Marino Grand Prix,5/17/1992,7:00:00
294,1992,6,6,Monaco Grand Prix,5/31/1992,11:30:00
295,1992,7,7,Canadian Grand Prix,6/14/1992,12:00:00
296,1992,8,8,French Grand Prix,7/5/1992,12:00:00
297,1992,9,9,British Grand Prix,7/12/1992,12:00:00
298,1992,10,10,German Grand Prix,7/26/1992,17:00:00
299,1992,11,11,Hungarian Grand Prix,8/16/1992,12:00:00
300,1992,12,13,Belgian Grand Prix,8/30/1992,12:00:00
301,1992,13,14,Italian Grand Prix,9/13/1992,12:00:00
302,1992,14,27,Portuguese Grand Prix,9/27/1992,12:00:00
303,1992,15,22,Japanese Grand Prix,10/25/1992,12:00:00
304,1992,16,29,Australian Grand Prix,11/8/1992,12:00:00
305,1991,1,33,United States Grand Prix,3/10/1991,12:00:00
306,1991,2,18,Brazilian Grand Prix,3/24/1991,12:00:00
307,1991,3,21,San Marino Grand Prix,4/28/1991,4:30:00
308,1991,4,6,Monaco Grand Prix,5/12/1991,6:00:00
309,1991,5,7,Canadian Grand Prix,6/2/1991,9:00:00
310,1991,6,32,Mexican Grand Prix,6/16/1991,7:00:00
311,1991,7,8,French Grand Prix,7/7/1991,12:00:00
312,1991,8,9,British Grand Prix,7/14/1991,12:00:00
313,1991,9,10,German Grand Prix,7/28/1991,12:00:00
314,1991,10,11,Hungarian Grand Prix,8/11/1991,12:00:00
315,1991,11,13,Belgian Grand Prix,8/25/1991,12:00:00
316,1991,12,14,Italian Grand Prix,9/8/1991,12:00:00
317,1991,13,27,Portuguese Grand Prix,9/22/1991,12:00:00
318,1991,14,4,Spanish Grand Prix,9/29/1991,12:00:00
319,1991,15,22,Japanese Grand Prix,10/20/1991,12:00:00
320,1991,16,29,Australian Grand Prix,11/3/1991,12:00:00
321,1990,1,33,United States Grand Prix,3/11/1990,12:00:00
322,1990,2,18,Brazilian Grand Prix,3/25/1990,5:00:00
323,1990,3,21,San Marino Grand Prix,5/13/1990,16:00:00
324,1990,4,6,Monaco Grand Prix,5/27/1990,11:00:00
325,1990,5,7,Canadian Grand Prix,6/10/1990,4:30:00
326,1990,6,32,Mexican Grand Prix,6/24/1990,7:00:00
327,1990,7,34,French Grand Prix,7/8/1990,11:30:00
328,1990,8,9,British Grand Prix,7/15/1990,12:00:00
329,1990,9,10,German Grand Prix,7/29/1990,12:00:00
330,1990,10,11,Hungarian Grand Prix,8/12/1990,12:00:00
331,1990,11,13,Belgian Grand Prix,8/26/1990,17:00:00
332,1990,12,14,Italian Grand Prix,9/9/1990,12:00:00
333,1990,13,27,Portuguese Grand Prix,9/23/1990,12:00:00
334,1990,14,26,Spanish Grand Prix,9/30/1990,12:00:00
335,1990,15,22,Japanese Grand Prix,10/21/1990,12:00:00
336,1990,16,29,Australian Grand Prix,11/4/1990,12:00:00
337,2010,1,3,Bahrain Grand Prix,3/14/2010,12:00:00
338,2010,2,1,Australian Grand Prix,3/28/2010,12:00:00
339,2010,3,2,Malaysian Grand Prix,4/4/2010,12:00:00
340,2010,4,17,Chinese Grand Prix,4/18/2010,4:30:00
341,2010,5,4,Spanish Grand Prix,5/9/2010,7:00:00
342,2010,6,6,Monaco Grand Prix,5/16/2010,17:00:00
343,2010,7,5,Turkish Grand Prix,5/30/2010,3:00:00
344,2010,8,7,Canadian Grand Prix,6/13/2010,7:00:00
345,2010,9,12,European Grand Prix,6/27/2010,11:30:00
346,2010,10,9,British Grand Prix,7/11/2010,12:00:00
347,2010,11,10,German Grand Prix,7/25/2010,12:00:00
348,2010,12,11,Hungarian Grand Prix,8/1/2010,12:00:00
349,2010,13,13,Belgian Grand Prix,8/29/2010,12:00:00
350,2010,14,14,Italian Grand Prix,9/12/2010,12:00:00
351,2010,15,15,Singapore Grand Prix,9/26/2010,12:00:00
352,2010,16,22,Japanese Grand Prix,10/10/2010,6:00:00
353,2010,17,35,Korean Grand Prix,10/24/2010,5:00:00
354,2010,18,18,Brazilian Grand Prix,11/7/2010,16:00:00
355,2010,19,24,Abu Dhabi Grand Prix,11/14/2010,13:00:00
356,1989,1,36,Brazilian Grand Prix,3/26/1989,6:00:00
357,1989,2,21,San Marino Grand Prix,4/23/1989,9:00:00
358,1989,3,6,Monaco Grand Prix,5/7/1989,7:00:00
359,1989,4,32,Mexican Grand Prix,5/28/1989,12:00:00
360,1989,5,33,United States Grand Prix,6/4/1989,12:00:00
361,1989,6,7,Canadian Grand Prix,6/18/1989,12:00:00
362,1989,7,34,French Grand Prix,7/9/1989,12:00:00
363,1989,8,9,British Grand Prix,7/16/1989,12:00:00
364,1989,9,10,German Grand Prix,7/30/1989,12:00:00
365,1989,10,11,Hungarian Grand Prix,8/13/1989,12:00:00
366,1989,11,13,Belgian Grand Prix,8/27/1989,12:00:00
367,1989,12,14,Italian Grand Prix,9/10/1989,12:00:00
368,1989,13,27,Portuguese Grand Prix,9/24/1989,12:00:00
369,1989,14,26,Spanish Grand Prix,10/1/1989,12:00:00
370,1989,15,22,Japanese Grand Prix,10/22/1989,5:00:00
371,1989,16,29,Australian Grand Prix,11/5/1989,16:00:00
372,1988,1,36,Brazilian Grand Prix,4/3/1988,11:00:00
373,1988,2,21,San Marino Grand Prix,5/1/1988,4:30:00
374,1988,3,6,Monaco Grand Prix,5/15/1988,7:00:00
375,1988,4,32,Mexican Grand Prix,5/29/1988,11:30:00
376,1988,5,7,Canadian Grand Prix,6/12/1988,12:00:00
377,1988,6,37,Detroit Grand Prix,6/19/1988,12:00:00
378,1988,7,34,French Grand Prix,7/3/1988,12:00:00
379,1988,8,9,British Grand Prix,7/10/1988,17:00:00
380,1988,9,10,German Grand Prix,7/24/1988,12:00:00
381,1988,10,11,Hungarian Grand Prix,8/7/1988,12:00:00
382,1988,11,13,Belgian Grand Prix,8/28/1988,12:00:00
383,1988,12,14,Italian Grand Prix,9/11/1988,12:00:00
384,1988,13,27,Portuguese Grand Prix,9/25/1988,12:00:00
385,1988,14,26,Spanish Grand Prix,10/2/1988,12:00:00
386,1988,15,22,Japanese Grand Prix,10/30/1988,12:00:00
387,1988,16,29,Australian Grand Prix,11/13/1988,12:00:00
388,1987,1,36,Brazilian Grand Prix,4/12/1987,4:30:00
389,1987,2,21,San Marino Grand Prix,5/3/1987,7:00:00
390,1987,3,13,Belgian Grand Prix,5/17/1987,17:00:00
391,1987,4,6,Monaco Grand Prix,5/31/1987,3:00:00
392,1987,5,37,Detroit Grand Prix,6/21/1987,7:00:00
393,1987,6,34,French Grand Prix,7/5/1987,11:30:00
394,1987,7,9,British Grand Prix,7/12/1987,12:00:00
395,1987,8,10,German Grand Prix,7/26/1987,6:00:00
396,1987,9,11,Hungarian Grand Prix,8/9/1987,9:00:00
397,1987,10,23,Austrian Grand Prix,8/16/1987,7:00:00
398,1987,11,14,Italian Grand Prix,9/6/1987,12:00:00
399,1987,12,27,Portuguese Grand Prix,9/20/1987,12:00:00
400,1987,13,26,Spanish Grand Prix,9/27/1987,12:00:00
401,1987,14,32,Mexican Grand Prix,10/18/1987,12:00:00
402,1987,15,22,Japanese Grand Prix,11/1/1987,12:00:00
403,1987,16,29,Australian Grand Prix,11/15/1987,12:00:00
404,1986,1,36,Brazilian Grand Prix,3/23/1986,12:00:00
405,1986,2,26,Spanish Grand Prix,4/13/1986,12:00:00
406,1986,3,21,San Marino Grand Prix,4/27/1986,12:00:00
407,1986,4,6,Monaco Grand Prix,5/11/1986,12:00:00
408,1986,5,13,Belgian Grand Prix,5/25/1986,12:00:00
409,1986,6,7,Canadian Grand Prix,6/15/1986,5:00:00
410,1986,7,37,Detroit Grand Prix,6/22/1986,16:00:00
411,1986,8,34,French Grand Prix,7/6/1986,11:00:00
412,1986,9,38,British Grand Prix,7/13/1986,4:30:00
413,1986,10,10,German Grand Prix,7/27/1986,7:00:00
414,1986,11,11,Hungarian Grand Prix,8/10/1986,11:30:00
415,1986,12,23,Austrian Grand Prix,8/17/1986,12:00:00
416,1986,13,14,Italian Grand Prix,9/7/1986,12:00:00
417,1986,14,27,Portuguese Grand Prix,9/21/1986,12:00:00
418,1986,15,32,Mexican Grand Prix,10/12/1986,17:00:00
419,1986,16,29,Australian Grand Prix,10/26/1986,12:00:00
420,1985,1,36,Brazilian Grand Prix,4/7/1985,12:00:00
421,1985,2,27,Portuguese Grand Prix,4/21/1985,12:00:00
422,1985,3,21,San Marino Grand Prix,5/5/1985,12:00:00
423,1985,4,6,Monaco Grand Prix,5/19/1985,12:00:00
424,1985,5,7,Canadian Grand Prix,6/16/1985,12:00:00
425,1985,6,37,Detroit Grand Prix,6/23/1985,12:00:00
426,1985,7,34,French Grand Prix,7/7/1985,12:00:00
427,1985,8,9,British Grand Prix,7/21/1985,4:30:00
428,1985,9,20,German Grand Prix,8/4/1985,7:00:00
429,1985,10,23,Austrian Grand Prix,8/18/1985,17:00:00
430,1985,11,39,Dutch Grand Prix,8/25/1985,3:00:00
